epoch,acc,loss,lr,time,val_acc,val_loss
0,0.6604405641555786,0.899027407169342,0.001,51.634063823963515,0.6683729290962219,0.9261369109153748
1,0.7962541580200195,0.5713152289390564,0.001,44.582999467034824,0.8153564929962158,0.5492347478866577
2,0.8586133122444153,0.4086289703845978,0.001,43.96949395001866,0.86873859167099,0.4129715859889984
3,0.8945690989494324,0.30870333313941956,0.001,45.37939050805289,0.8778793215751648,0.3521175682544708
4,0.9183838963508606,0.24291662871837616,0.001,45.49824848305434,0.8965265154838562,0.2968991696834564
5,0.9333468675613403,0.19764289259910583,0.001,47.13823425490409,0.9089579582214355,0.2571091949939728
6,0.9448076486587524,0.16421741247177124,0.001,46.588862507021986,0.9323583245277405,0.1905030459165573
7,0.9533448219299316,0.1399141103029251,0.001,46.43507963698357,0.9517367482185364,0.14521919190883636
8,0.9591209292411804,0.12150286138057709,0.001,45.25854591699317,0.9634369015693665,0.11254072934389114
9,0.9662166237831116,0.10191333293914795,0.001,47.111008506966755,0.962705671787262,0.1061590388417244
10,0.9700943827629089,0.0894230306148529,0.001,44.68611452996265,0.9521023631095886,0.12972931563854218
11,0.972896158695221,0.07983937859535217,0.001,46.303857675986364,0.964533805847168,0.10564035922288895
12,0.97594153881073,0.07082425802946091,0.001,44.94995639799163,0.9670932292938232,0.09015900641679764
13,0.9784590601921082,0.06399493664503098,0.001,44.9637092880439,0.97074955701828,0.07944601029157639
14,0.9810780882835388,0.056312933564186096,0.001,44.113376407069154,0.974405825138092,0.07334765791893005
15,0.9845396280288696,0.04740799590945244,0.001,44.451028972049244,0.9802559614181519,0.05427822470664978
16,0.9845498204231262,0.0456860177218914,0.001,47.21691802400164,0.9835466146469116,0.05524640530347824
17,0.9853517413139343,0.043632879853248596,0.001,44.95356107200496,0.9795246720314026,0.06097825989127159
18,0.9867221713066101,0.03981272503733635,0.001,46.24545487796422,0.9897623658180237,0.035139311105012894
19,0.987453043460846,0.03820347413420677,0.001,46.20480592804961,0.9868372678756714,0.04062449932098389
20,0.9887219667434692,0.033472929149866104,0.001,45.31629605300259,0.9897623658180237,0.03173481673002243
21,0.9901329874992371,0.030236009508371353,0.001,44.49042035499588,0.9864716529846191,0.0356014184653759
22,0.9903461337089539,0.02912583202123642,0.001,47.47484557097778,0.9930530190467834,0.025740381330251694
23,0.9891685843467712,0.03161308169364929,0.001,46.20945019996725,0.9882998466491699,0.03429814428091049
24,0.9925388097763062,0.023123105987906456,0.001,47.323993723024614,0.9908592104911804,0.032789383083581924
25,0.9910770654678345,0.0273591298609972,0.001,45.08321403991431,0.9879341721534729,0.03484669700264931
26,0.991858720779419,0.024833805859088898,0.001,47.64140517101623,0.9963436722755432,0.012393533252179623
27,0.9924373030662537,0.022826235741376877,0.001,45.696668185992166,0.9904935956001282,0.03547242656350136
28,0.9915744662284851,0.025154948234558105,0.001,47.19719429500401,0.9901279807090759,0.031181953847408295
29,0.9933813810348511,0.020998960360884666,0.001,45.12125653796829,0.9945155382156372,0.015261152759194374
30,0.9926910996437073,0.021431783214211464,0.001,44.411753140971996,0.9934186339378357,0.02188645862042904
31,0.9925286769866943,0.02330184355378151,0.001,48.33044242102187,0.995978057384491,0.013862427324056625
32,0.9945893883705139,0.01674196869134903,0.001,47.312546880100854,0.9952468276023865,0.012959023006260395
33,0.9941021203994751,0.018770447000861168,0.001,46.008993081981316,0.9952468276023865,0.016905255615711212
34,0.9925997257232666,0.022410977631807327,0.001,45.15540947089903,0.9937842488288879,0.02018095552921295
35,0.9952898025512695,0.0149378115311265,0.001,45.69493496895302,0.9970749616622925,0.012188292108476162
36,0.9932088255882263,0.020662806928157806,0.001,44.82680591510143,0.9915904998779297,0.02202385477721691
37,0.9948025345802307,0.015655461698770523,0.001,45.07721886597574,0.9948811531066895,0.015482892282307148
38,0.994741678237915,0.016287358477711678,0.001,45.8781989000272,0.9974405765533447,0.010983376763761044
39,0.9940919876098633,0.017266081646084785,0.001,46.34837682999205,0.9853747487068176,0.04777850583195686
40,0.9986194372177124,0.006020277738571167,0.000100000005,46.32893924601376,1.0,0.0033063741866499186
41,0.9998883605003357,0.002221114933490753,0.000100000005,46.40957270201761,1.0,0.002179698320105672
42,0.9999898672103882,0.0015249276766553521,0.000100000005,44.75175599101931,1.0,0.0016033307183533907
43,0.9999898672103882,0.0011696986621245742,0.000100000005,51.848130624042824,1.0,0.0011665005004033446
44,1.0,0.000937728735152632,0.000100000005,60.595979466917925,1.0,0.0009108356898650527
45,1.0,0.0007573190378025174,0.000100000005,59.9972694281023,1.0,0.000753006839659065
46,1.0,0.0006224731914699078,0.000100000005,58.136117089074105,1.0,0.0006303435657173395
47,1.0,0.000515141524374485,0.000100000005,60.037905620993115,1.0,0.0006733896443620324
48,1.0,0.00042692062561400235,0.000100000005,60.636564953951165,1.0,0.00039776612538844347
49,1.0,0.00035001448122784495,0.000100000005,60.408464918029495,1.0,0.00037127529503777623
50,1.0,0.00029280371381901205,0.000100000005,49.57647513307165,1.0,0.0002860886452253908
