epoch,acc,loss,lr,time,val_acc,val_loss
0,0.6687784790992737,0.7280570864677429,0.001,327.7860245858319,0.7114311456680298,0.6563444137573242
1,0.7550094723701477,0.5746251344680786,0.001,324.64264363911934,0.7909991145133972,0.5187188386917114
2,0.7953510880470276,0.49449729919433594,0.001,329.5033396638464,0.8337233662605286,0.43346893787384033
3,0.8201347589492798,0.4424552619457245,0.001,325.69149844907224,0.8459646105766296,0.3887578845024109
4,0.8368158936500549,0.40531498193740845,0.001,323.5343466280028,0.847764790058136,0.392257958650589
5,0.848453938961029,0.37822794914245605,0.001,318.50203885510564,0.8613261580467224,0.3443288505077362
6,0.8574976325035095,0.3572092652320862,0.001,372.5013173450716,0.8788478970527649,0.3209499716758728
7,0.8650622963905334,0.3398568332195282,0.001,324.1777276690118,0.8623462319374084,0.34546560049057007
8,0.871106743812561,0.3250523507595062,0.001,291.1992374979891,0.8868286609649658,0.2931329607963562
9,0.8767066597938538,0.31236210465431213,0.001,293.3532344768755,0.8946294784545898,0.27592650055885315
10,0.8810505867004395,0.3017440736293793,0.001,290.9161174329929,0.897509753704071,0.27016597986221313
11,0.8852916359901428,0.2914026081562042,0.001,290.59891864308156,0.8988898992538452,0.2643040418624878
12,0.889126181602478,0.28300589323043823,0.001,292.5630594990216,0.8998500108718872,0.25904449820518494
13,0.8921112418174744,0.27493515610694885,0.001,337.1289860550314,0.9098109602928162,0.2401493340730667
14,0.8953208923339844,0.2677127718925476,0.001,379.85630054795183,0.9023102521896362,0.2521129548549652
15,0.8981920480728149,0.26072704792022705,0.001,363.4141591039952,0.9101110100746155,0.2320098578929901
16,0.9001377820968628,0.25529685616493225,0.001,376.1427307159174,0.9217521548271179,0.21018294990062714
17,0.9026466608047485,0.24982808530330658,0.001,333.9169877008535,0.9174917340278625,0.21980439126491547
18,0.9048977494239807,0.24411511421203613,0.001,346.6075860259589,0.919171929359436,0.21246880292892456
19,0.9067959785461426,0.2396792620420456,0.001,344.1749887790065,0.9149714708328247,0.22104240953922272
20,0.9084095358848572,0.2356691211462021,0.001,345.05614676489495,0.9199519753456116,0.20926842093467712
21,0.9102983474731445,0.23110707104206085,0.001,345.70828879694454,0.9210321307182312,0.20221452414989471
22,0.9117283821105957,0.22728872299194336,0.001,345.70405098912306,0.9193519353866577,0.20957350730895996
23,0.9133245348930359,0.22361986339092255,0.001,346.0113292990718,0.9241524338722229,0.2025226205587387
24,0.9144017696380615,0.22100502252578735,0.001,345.623105796054,0.9246324896812439,0.19915039837360382
25,0.9160137176513672,0.21757467091083527,0.001,340.66994413593784,0.9269126653671265,0.19755035638809204
26,0.9168046712875366,0.21453312039375305,0.001,344.2989897830412,0.9233723282814026,0.20123262703418732
27,0.918449878692627,0.21171733736991882,0.001,347.83207271713763,0.9296729564666748,0.18590278923511505
28,0.9188390374183655,0.20942316949367523,0.001,347.2454648320563,0.9324332475662231,0.1860976368188858
29,0.9203861355781555,0.20675671100616455,0.001,344.2578009390272,0.9341133832931519,0.17787252366542816
30,0.9212245345115662,0.20485258102416992,0.001,344.9961098479107,0.9337533712387085,0.18328428268432617
31,0.9219427108764648,0.20242524147033691,0.001,344.276454113191,0.9342934489250183,0.1740771383047104
32,0.9224773645401001,0.20023278892040253,0.001,343.77800670522265,0.9346534609794617,0.1740092635154724
33,0.9237539768218994,0.1981154829263687,0.001,344.29952855897136,0.9377137422561646,0.16788701713085175
34,0.924350380897522,0.1961168497800827,0.001,343.2438434890937,0.9330933094024658,0.18095988035202026
35,0.9251254796981812,0.19426916539669037,0.001,344.8909612239804,0.9358536005020142,0.16848856210708618
36,0.9257250428199768,0.19278496503829956,0.001,343.4473614988383,0.9386138319969177,0.16422951221466064
37,0.9266061186790466,0.19092610478401184,0.001,342.96207354287617,0.935973584651947,0.1694939285516739
38,0.9268798232078552,0.18934842944145203,0.001,343.88529925700277,0.9375337362289429,0.164280965924263
